sector,buyer_tier,macro_scenario,amount_try,term_days,sme_age_months,sme_prior_invoices,sme_ontime_ratio,buyer_repeat_count,buyer_avg_days_late,true_default_prob,defaulted,days_late
retail,micro,stable,8813.02,51,54,26,0.469,4,0.7,0.1347,0,0
retail,small_business,high_inflation,17727.84,21,7,4,0.902,3,6.3,0.1054,0,0
construction,mid_market,stable,13590.81,144,64,42,0.908,2,2.0,0.1359,0,0
textile,micro,high_inflation,141875.07,59,71,37,0.964,5,1.2,0.2177,0,0
services,mid_market,high_inflation,26372.88,15,38,21,0.843,4,3.5,0.04,0,0
food_beverage,mid_market,currency_shock,64726.24,73,46,28,0.865,2,30.4,0.1261,0,0
food_beverage,micro,stable,95380.26,52,33,19,0.759,1,6.4,0.1195,0,0
food_beverage,small_business,high_inflation,245573.78,63,29,13,0.826,3,2.4,0.1021,0,0
services,mid_market,currency_shock,18908.99,36,6,6,0.891,6,12.4,0.0724,0,0
construction,small_business,currency_shock,9237.45,130,6,2,0.865,2,1.4,0.4654,1,28
agriculture,small_business,high_inflation,22862.74,115,89,46,0.952,5,0.5,0.2515,0,0
electronics,enterprise,currency_shock,103700.44,59,43,35,0.755,5,8.5,0.0472,0,0
textile,small_business,high_inflation,70485.69,89,6,1,0.83,8,10.6,0.2304,0,0
textile,mid_market,currency_shock,7423.95,129,97,55,0.986,2,2.8,0.1313,0,0
textile,enterprise,high_inflation,17915.26,78,75,28,0.597,4,0.4,0.0387,1,33
electronics,mid_market,currency_shock,16094.88,41,63,43,0.892,4,3.2,0.0817,0,0
services,mid_market,stable,5000.0,55,72,36,0.629,5,5.7,0.0418,0,0
food_beverage,small_business,stable,149814.67,61,25,19,0.712,1,3.0,0.0769,0,4
services,mid_market,currency_shock,21374.1,31,41,23,0.643,3,1.1,0.057,0,0
construction,small_business,stable,35586.44,86,55,31,0.653,0,10.0,0.3011,0,3
logistics,small_business,currency_shock,133884.16,40,6,1,0.575,2,8.1,0.2724,0,0
textile,small_business,stable,54227.0,108,6,3,0.943,5,4.8,0.1455,1,10
services,small_business,currency_shock,38888.86,15,24,14,0.877,2,2.6,0.0987,0,0
textile,enterprise,currency_shock,27281.57,89,254,54,0.832,2,1.0,0.0485,0,4
textile,mid_market,stable,106657.64,81,26,8,0.41,4,7.9,0.0872,0,12
textile,mid_market,high_inflation,51118.05,106,44,15,0.69,2,0.1,0.0973,0,0
automotive,mid_market,high_inflation,14039.69,44,29,12,0.767,5,20.5,0.0885,0,8
food_beverage,small_business,stable,62457.06,30,6,6,0.794,3,1.6,0.0602,0,0
construction,mid_market,stable,34120.85,133,29,15,0.83,4,2.3,0.1366,0,10
automotive,small_business,stable,40431.12,81,10,8,0.795,6,6.9,0.1097,0,5
textile,small_business,stable,32105.04,68,11,7,0.937,4,12.3,0.1487,0,0
textile,small_business,high_inflation,28418.24,92,77,37,0.883,0,0.8,0.1732,1,33
services,mid_market,stable,16925.76,53,32,13,0.843,5,7.3,0.0396,0,16
logistics,small_business,currency_shock,117489.63,54,145,41,0.738,5,0.9,0.223,0,0
retail,small_business,stable,29199.63,15,173,49,0.831,2,11.6,0.0856,0,0
automotive,small_business,high_inflation,53865.7,99,49,29,0.927,2,0.5,0.1298,1,32
retail,small_business,high_inflation,91192.82,23,6,1,0.936,2,1.9,0.0921,1,71
food_beverage,small_business,high_inflation,199527.77,90,41,17,0.702,3,11.3,0.155,0,7
services,small_business,high_inflation,56805.17,16,22,13,0.782,1,3.5,0.0827,0,0
textile,small_business,stable,109120.54,41,16,9,0.719,1,2.9,0.1105,0,0
food_beverage,enterprise,high_inflation,14238.56,60,41,15,0.794,2,4.9,0.0235,0,0
automotive,mid_market,stable,42937.82,69,71,39,0.698,2,18.5,0.0711,0,0
construction,enterprise,stable,33559.14,112,6,3,0.857,5,11.1,0.0679,0,0
electronics,mid_market,stable,11367.25,33,21,13,0.778,0,1.2,0.0428,0,0
logistics,mid_market,stable,173585.36,62,44,19,0.914,1,3.6,0.0651,0,0
construction,mid_market,currency_shock,99678.16,101,10,7,0.743,1,6.8,0.2565,0,0
textile,enterprise,stable,44165.11,104,22,13,0.75,3,0.4,0.0291,0,10
automotive,small_business,high_inflation,48168.25,79,85,53,0.873,1,3.2,0.1327,0,0
logistics,small_business,stable,82259.04,46,57,36,0.853,0,2.3,0.1185,0,7
construction,small_business,high_inflation,56411.45,122,16,8,0.867,2,1.4,0.3512,0,0
automotive,small_business,currency_shock,14651.25,80,16,11,0.975,1,9.6,0.1952,0,0
logistics,small_business,stable,338192.18,32,36,23,0.835,4,0.3,0.1037,1,33
logistics,mid_market,high_inflation,14526.41,61,44,25,0.968,2,4.0,0.0897,0,5
textile,mid_market,stable,7092.79,96,32,15,0.725,4,2.5,0.0708,0,0
logistics,small_business,stable,6801.0,20,36,17,0.82,3,4.3,0.1098,0,0
construction,small_business,high_inflation,172248.68,100,177,61,0.927,4,22.3,0.5222,0,0
food_beverage,small_business,stable,20983.82,64,46,20,0.78,3,3.4,0.077,1,52
retail,small_business,stable,32026.43,47,140,37,0.631,0,4.7,0.0933,0,43
agriculture,mid_market,high_inflation,158883.18,75,127,47,0.617,3,13.4,0.1734,0,0
construction,small_business,currency_shock,18166.67,110,34,16,0.851,0,0.9,0.4262,1,10
construction,mid_market,stable,51819.31,105,15,7,0.577,2,2.2,0.1352,0,0
textile,enterprise,stable,21877.9,89,140,56,0.939,4,5.9,0.0297,0,10
construction,small_business,currency_shock,15391.27,106,6,1,0.901,3,6.2,0.4814,1,14
agriculture,mid_market,stable,12750.84,62,41,24,0.836,3,6.7,0.0899,0,10
retail,mid_market,stable,58255.2,15,183,57,0.643,5,28.3,0.0647,0,0
food_beverage,small_business,high_inflation,95268.3,40,111,42,0.631,6,1.4,0.0949,1,36
agriculture,mid_market,currency_shock,13391.78,64,108,48,0.847,2,1.8,0.1411,0,10
construction,mid_market,high_inflation,322396.84,117,155,40,0.94,5,1.4,0.1667,0,0
construction,small_business,high_inflation,15490.75,113,6,1,0.775,2,1.3,0.3518,0,1
retail,small_business,stable,16482.48,17,34,24,0.667,2,12.2,0.094,0,0
electronics,small_business,high_inflation,42155.42,75,16,9,0.911,3,3.7,0.1518,0,5
automotive,small_business,high_inflation,24698.6,106,47,25,0.837,1,1.7,0.1445,0,17
retail,small_business,stable,398374.53,29,40,21,0.782,5,0.4,0.0695,0,0
construction,enterprise,currency_shock,31419.94,116,6,1,0.625,5,3.4,0.111,0,0
construction,small_business,stable,40180.91,92,45,19,0.834,2,8.2,0.2742,0,0
services,enterprise,stable,33523.43,15,6,1,0.836,4,1.3,0.0115,0,0
electronics,small_business,high_inflation,179873.86,50,36,12,0.685,2,0.2,0.1322,0,0
retail,mid_market,high_inflation,22520.68,58,179,44,0.739,1,3.8,0.0646,0,0
construction,small_business,high_inflation,159169.67,109,16,12,0.915,6,0.6,0.3185,0,0
food_beverage,mid_market,stable,59575.35,67,284,56,0.783,3,1.2,0.0365,0,0
construction,mid_market,currency_shock,29852.51,133,35,24,0.813,2,5.3,0.2707,1,52
logistics,mid_market,stable,362330.05,70,18,4,0.9,4,1.7,0.0643,0,0
electronics,small_business,stable,75342.04,84,21,14,0.849,3,10.3,0.1388,0,0
textile,micro,high_inflation,28208.26,71,15,11,0.73,1,2.7,0.2672,0,0
food_beverage,small_business,high_inflation,110645.45,51,82,42,0.716,3,2.1,0.0995,1,24
agriculture,enterprise,stable,9484.68,85,87,46,0.744,5,6.4,0.0443,0,0
electronics,mid_market,high_inflation,63907.17,42,79,41,0.505,1,12.2,0.0947,0,0
agriculture,small_business,high_inflation,1259016.25,106,8,1,0.663,2,3.6,0.4515,0,0
services,small_business,high_inflation,12926.76,58,7,4,0.908,2,0.6,0.0908,0,4
retail,small_business,high_inflation,27067.19,18,89,44,0.57,2,0.4,0.0989,0,0
services,mid_market,stable,20922.32,15,27,13,0.669,1,1.4,0.0288,0,0
services,small_business,high_inflation,25745.38,15,116,45,0.678,6,1.2,0.0796,0,0
textile,mid_market,stable,89993.08,104,6,1,0.814,4,4.1,0.0742,0,0
food_beverage,small_business,stable,101052.88,61,75,39,0.919,2,4.5,0.0739,0,0
retail,small_business,stable,10444.84,46,12,7,0.851,1,2.6,0.0797,0,0
services,small_business,stable,172054.36,61,6,3,0.736,1,19.2,0.1136,0,0
automotive,small_business,high_inflation,113274.99,57,6,8,0.89,1,2.2,0.1147,1,15
construction,small_business,stable,61433.06,138,49,23,0.908,1,6.6,0.3049,0,2
services,small_business,currency_shock,66995.89,74,22,5,0.671,1,2.6,0.1482,1,24
food_beverage,mid_market,high_inflation,29201.45,63,34,15,0.625,4,19.8,0.085,0,0
construction,mid_market,currency_shock,41573.08,114,36,24,0.822,2,8.2,0.2711,0,0
food_beverage,micro,stable,5000.0,43,200,50,0.994,2,1.5,0.0891,0,0
electronics,small_business,currency_shock,10282.43,40,24,12,0.648,4,2.4,0.1748,1,38
retail,mid_market,stable,18810.25,15,7,2,0.626,2,7.0,0.0414,0,5
retail,mid_market,currency_shock,31883.54,15,61,28,0.764,2,11.9,0.0798,0,0
retail,mid_market,high_inflation,52585.9,38,31,13,0.768,3,25.1,0.0935,0,0
services,small_business,stable,167777.76,15,20,13,0.811,5,1.5,0.0544,0,27
services,mid_market,high_inflation,104817.48,50,56,24,0.545,1,0.1,0.0496,0,0
construction,micro,stable,57580.35,140,68,34,0.757,3,1.4,0.421,0,2
automotive,small_business,stable,136504.52,110,94,60,0.926,2,3.4,0.1064,0,0
logistics,small_business,stable,40880.53,47,12,5,0.699,1,0.6,0.12,0,0
electronics,small_business,high_inflation,361870.58,70,63,26,0.816,6,14.6,0.2042,0,0
food_beverage,small_business,stable,186737.83,61,163,54,0.955,4,0.8,0.0648,0,0
textile,small_business,high_inflation,10024.85,88,57,22,0.973,2,4.0,0.1805,0,0
textile,small_business,stable,24754.23,71,47,26,0.756,4,1.5,0.1212,0,0
agriculture,mid_market,stable,20022.88,77,34,13,0.937,6,3.9,0.0854,0,0
food_beverage,small_business,high_inflation,52506.47,71,89,41,0.73,3,4.7,0.1183,0,0
textile,enterprise,stable,28138.8,93,27,11,0.926,3,7.6,0.0319,0,0
electronics,small_business,stable,328774.85,26,6,2,0.938,1,0.0,0.0737,0,0
retail,mid_market,high_inflation,10015.71,20,34,22,0.698,0,2.9,0.0516,0,0
textile,micro,high_inflation,62946.8,68,44,25,0.942,3,6.0,0.2653,0,0
textile,small_business,stable,9300.25,111,29,11,0.839,3,6.1,0.1597,0,0
textile,small_business,stable,16075.36,67,8,1,0.859,3,10.3,0.1457,0,0
textile,enterprise,high_inflation,64212.34,111,11,4,0.979,2,20.7,0.0633,0,0
construction,small_business,currency_shock,14024.03,136,147,49,0.911,5,1.8,0.4729,1,91
food_beverage,enterprise,stable,100866.85,59,135,42,0.893,2,2.2,0.0148,0,0
services,enterprise,stable,277766.14,15,6,4,0.691,3,1.6,0.0123,0,0
agriculture,mid_market,currency_shock,24518.73,119,6,3,0.895,3,8.4,0.2119,0,0
textile,small_business,stable,62002.11,116,99,52,0.846,1,2.2,0.145,0,0
automotive,micro,currency_shock,133837.0,75,24,9,0.555,0,0.3,0.2603,0,8
automotive,small_business,stable,158072.8,84,300,58,0.933,1,6.7,0.1043,0,16
automotive,mid_market,stable,32199.17,38,19,9,0.921,2,4.2,0.0388,0,0
agriculture,enterprise,high_inflation,106531.33,73,6,5,0.763,2,18.0,0.0767,0,0
services,mid_market,currency_shock,178803.32,15,64,24,0.704,2,1.2,0.0507,0,0
services,small_business,stable,10575.24,15,14,5,0.597,3,10.6,0.0765,0,14
logistics,enterprise,stable,234692.67,68,65,36,0.669,0,2.3,0.0306,0,0
textile,enterprise,high_inflation,52207.86,100,33,14,0.763,3,6.8,0.0482,0,0
retail,small_business,currency_shock,129199.72,51,14,6,0.692,2,8.9,0.1876,1,30
electronics,mid_market,stable,60145.59,41,6,2,0.625,3,0.2,0.046,0,0
logistics,mid_market,currency_shock,82676.66,60,81,41,0.53,2,1.9,0.1289,0,0
retail,mid_market,stable,240146.13,61,11,3,0.775,3,13.3,0.0591,0,6
textile,enterprise,high_inflation,150343.8,126,9,4,0.769,4,6.0,0.0522,0,15
retail,mid_market,stable,17897.25,28,10,11,0.823,4,3.4,0.0374,0,0
agriculture,enterprise,currency_shock,30875.26,94,53,29,0.785,3,0.9,0.0691,0,14
services,small_business,stable,32971.41,15,44,24,0.885,1,6.1,0.0605,0,0
textile,mid_market,stable,11460.29,109,127,55,0.811,3,20.1,0.1113,0,0
retail,small_business,currency_shock,33688.02,15,96,54,0.696,3,1.0,0.1211,0,0
automotive,small_business,currency_shock,46620.37,75,87,43,0.639,3,20.7,0.2813,0,0
textile,mid_market,stable,279614.75,97,10,1,0.784,4,19.1,0.105,0,0
food_beverage,mid_market,stable,36234.27,59,35,13,0.874,5,5.5,0.0384,0,0
retail,micro,high_inflation,22442.28,63,43,20,0.828,2,4.7,0.1964,0,7
services,micro,stable,26094.62,53,6,3,0.654,6,3.4,0.1147,0,0
food_beverage,mid_market,high_inflation,37330.98,82,52,16,0.573,3,5.3,0.0672,0,0
services,small_business,currency_shock,15858.52,30,30,11,0.552,2,16.4,0.1755,1,44
automotive,micro,high_inflation,39234.53,52,51,32,0.787,1,1.2,0.17,0,0
logistics,small_business,stable,21619.03,20,76,40,0.545,3,3.1,0.1181,1,67
construction,enterprise,currency_shock,6706.44,117,60,38,0.795,3,8.5,0.1198,0,0
logistics,enterprise,currency_shock,515145.14,62,52,27,0.837,4,2.8,0.0507,0,0
retail,micro,stable,14558.58,45,44,17,0.933,4,6.1,0.1271,0,0
food_beverage,mid_market,stable,402441.14,51,65,38,0.891,7,2.3,0.0333,0,0
food_beverage,micro,stable,27915.71,90,31,19,0.914,2,5.7,0.1315,0,0
logistics,small_business,stable,209954.21,15,62,33,0.924,2,8.1,0.1129,0,0
services,small_business,stable,77980.63,25,26,14,0.817,4,1.8,0.0584,0,0
agriculture,mid_market,stable,177396.31,86,19,13,0.714,2,8.3,0.1105,0,0
textile,mid_market,stable,518089.68,96,9,11,0.804,3,2.7,0.069,0,0
construction,mid_market,stable,101793.62,124,34,14,0.865,4,29.7,0.2406,0,0
electronics,mid_market,high_inflation,16875.6,54,32,16,0.791,2,7.6,0.0803,0,0
textile,small_business,stable,47005.2,105,19,11,0.727,1,0.4,0.1376,1,91
electronics,enterprise,stable,92584.56,27,35,17,0.899,1,6.5,0.0196,0,0
retail,enterprise,high_inflation,187470.01,16,95,45,0.91,6,8.5,0.0231,0,0
logistics,small_business,stable,191963.81,51,94,51,0.802,2,6.0,0.1386,0,0
retail,mid_market,stable,53041.53,43,45,31,0.699,8,9.2,0.0503,0,0
textile,small_business,high_inflation,5062.76,99,15,9,0.794,3,1.1,0.1872,0,0
construction,small_business,high_inflation,15285.14,160,33,21,0.896,3,0.8,0.389,0,0
retail,enterprise,currency_shock,133204.07,20,27,12,0.822,2,10.8,0.0335,0,20
automotive,small_business,currency_shock,62090.68,85,110,49,0.73,1,0.0,0.1682,0,0
textile,mid_market,stable,15163.77,91,7,1,0.928,1,3.7,0.0661,0,17
electronics,micro,stable,20055.99,72,6,3,0.798,3,1.7,0.158,1,113
logistics,micro,stable,251393.61,50,28,11,0.917,4,9.6,0.2162,0,0
construction,micro,high_inflation,27307.48,121,82,48,0.85,6,2.8,0.5522,0,9
food_beverage,small_business,stable,63144.61,83,135,55,0.956,7,0.6,0.0714,0,0
food_beverage,small_business,high_inflation,146585.16,47,17,11,0.679,4,4.4,0.106,0,0
electronics,small_business,stable,25990.28,70,6,7,0.962,4,5.0,0.1074,0,0
retail,small_business,currency_shock,13398.65,38,67,18,0.916,3,6.0,0.1475,0,0
electronics,small_business,stable,70855.72,89,53,24,0.831,1,11.8,0.148,0,0
electronics,small_business,currency_shock,133222.77,45,41,16,0.791,2,5.5,0.186,0,0
services,mid_market,stable,49469.02,15,49,22,0.743,1,0.6,0.0272,0,0
construction,enterprise,high_inflation,102503.92,97,27,6,0.867,2,3.1,0.0716,0,0
retail,small_business,currency_shock,105190.76,15,102,42,0.969,4,0.8,0.1075,0,0
food_beverage,micro,stable,29681.79,51,30,14,0.872,4,1.4,0.0978,0,0
agriculture,micro,stable,42169.94,85,14,8,0.865,2,6.7,0.2971,1,46
textile,enterprise,currency_shock,23216.96,95,52,28,0.882,9,5.0,0.055,0,0
agriculture,small_business,currency_shock,38916.5,90,6,3,0.724,4,0.5,0.3215,1,16
construction,mid_market,high_inflation,54844.45,124,125,56,0.827,1,7.9,0.2169,0,13
automotive,small_business,currency_shock,64132.36,137,16,7,0.76,3,0.8,0.21,0,0
agriculture,mid_market,high_inflation,28551.04,116,23,13,0.936,6,2.7,0.1361,0,0
textile,mid_market,high_inflation,189313.66,77,50,21,0.477,1,4.0,0.1049,0,0
retail,enterprise,stable,283064.86,49,57,32,0.892,7,6.5,0.0191,0,0
textile,small_business,stable,20709.76,105,55,24,0.728,5,0.4,0.1374,0,0
retail,mid_market,high_inflation,69928.28,31,133,48,0.857,3,5.5,0.0557,0,0
services,small_business,currency_shock,67624.97,22,6,3,0.514,3,3.8,0.1237,0,0
construction,mid_market,stable,36135.81,117,17,8,0.99,7,8.6,0.1431,0,0
retail,mid_market,stable,185601.32,22,6,1,0.891,4,1.7,0.0332,0,0
textile,mid_market,currency_shock,103215.78,87,228,50,0.735,3,0.7,0.1153,0,3
retail,small_business,high_inflation,21877.01,15,7,2,0.675,5,3.3,0.1021,0,0
services,small_business,stable,321475.46,45,7,4,0.841,1,4.0,0.0691,1,105
textile,small_business,stable,231270.55,79,33,19,0.837,4,2.2,0.1245,0,0
automotive,small_business,stable,135724.87,73,12,4,0.621,5,0.7,0.0943,0,0
agriculture,micro,stable,500205.62,100,59,32,0.817,1,1.9,0.4219,0,0
retail,mid_market,stable,11551.63,34,88,42,0.938,3,18.6,0.0535,0,0
food_beverage,small_business,stable,117039.76,69,33,16,0.916,5,1.6,0.0704,0,0
retail,mid_market,high_inflation,159687.06,15,29,16,0.846,1,0.3,0.0434,0,0
textile,mid_market,stable,10828.42,79,20,12,0.898,3,11.7,0.0784,0,0
textile,mid_market,high_inflation,48836.67,49,22,12,0.828,3,0.7,0.072,0,0
construction,mid_market,stable,25326.53,140,29,17,0.728,5,1.9,0.1445,0,18
food_beverage,enterprise,currency_shock,74758.67,42,182,40,0.914,3,0.3,0.0227,0,0
textile,enterprise,stable,90792.07,120,37,15,0.727,5,12.7,0.0439,0,0
textile,mid_market,stable,36562.21,80,18,9,0.831,4,0.8,0.0599,0,1
retail,small_business,high_inflation,6680.77,15,56,32,0.902,1,11.5,0.116,0,0
textile,mid_market,stable,112878.72,54,21,11,0.825,0,8.8,0.0667,0,0
textile,mid_market,currency_shock,67208.18,116,12,1,0.8,3,7.3,0.1539,0,15
automotive,micro,currency_shock,8381.68,73,70,31,0.785,2,3.0,0.2568,0,0
retail,small_business,stable,163044.42,41,18,12,0.908,1,0.6,0.071,0,0
automotive,small_business,stable,339996.58,58,6,1,0.825,6,0.3,0.0798,0,30
logistics,mid_market,high_inflation,26294.54,59,70,41,0.57,5,1.9,0.098,1,36
retail,enterprise,high_inflation,106521.64,33,16,14,0.787,4,2.3,0.0227,0,1
automotive,small_business,stable,127883.59,78,30,9,0.948,1,17.2,0.1298,0,0
textile,mid_market,stable,133020.4,96,53,34,0.837,3,1.2,0.0649,0,0
construction,mid_market,stable,112673.95,115,20,9,0.873,4,5.2,0.1363,0,40
retail,mid_market,high_inflation,48484.78,15,128,61,0.872,2,0.5,0.0431,0,0
automotive,mid_market,stable,97964.79,74,47,27,0.73,2,8.3,0.0567,0,0
food_beverage,enterprise,stable,177775.72,80,160,49,0.724,4,1.1,0.0169,0,0
textile,mid_market,currency_shock,174607.63,105,6,3,0.963,3,2.6,0.12,1,72
services,small_business,currency_shock,8694.94,31,6,6,0.967,4,1.6,0.1014,1,39
textile,small_business,stable,61637.49,62,174,54,0.765,6,18.3,0.1775,1,21
food_beverage,micro,stable,374655.22,69,165,56,0.823,3,2.5,0.1131,1,30
food_beverage,small_business,stable,200851.12,49,68,40,0.658,1,1.0,0.0695,1,108
services,small_business,currency_shock,21265.32,30,7,1,0.82,3,9.8,0.1353,0,0
food_beverage,mid_market,stable,8481.92,86,53,22,0.973,3,18.4,0.0569,0,0
textile,small_business,stable,5951.48,60,61,25,0.966,2,4.5,0.1152,0,0
electronics,enterprise,stable,27521.1,33,34,17,0.874,4,8.8,0.0219,0,0
retail,micro,stable,45516.41,15,6,3,0.64,4,8.3,0.1278,0,0
electronics,enterprise,stable,125595.74,86,9,4,0.929,4,5.8,0.0257,0,0
logistics,mid_market,currency_shock,19513.85,37,43,20,0.942,7,0.3,0.0916,0,5
automotive,small_business,high_inflation,33808.79,59,14,6,0.883,2,8.5,0.1392,1,25
textile,small_business,stable,102891.18,54,25,10,0.816,7,3.5,0.1158,0,0
construction,small_business,stable,11057.22,132,27,13,0.853,3,8.6,0.3218,1,209
electronics,small_business,stable,199571.36,43,51,20,0.96,2,16.4,0.1243,0,0
food_beverage,mid_market,stable,234453.44,80,30,16,0.818,0,4.4,0.042,0,1
retail,mid_market,stable,10494.65,15,99,52,0.846,3,2.7,0.0334,0,0
textile,enterprise,stable,44555.78,100,21,9,0.948,2,0.3,0.0262,0,0
automotive,enterprise,high_inflation,51290.89,73,66,36,0.877,3,3.2,0.0276,0,0
textile,mid_market,stable,23202.99,100,89,36,0.841,3,3.1,0.0699,0,0
retail,small_business,high_inflation,41893.86,35,13,7,0.652,2,4.1,0.1192,0,0
construction,small_business,high_inflation,14144.48,126,48,23,0.833,2,1.6,0.364,0,0
retail,small_business,high_inflation,43942.81,47,12,3,0.64,3,13.7,0.1639,0,0
services,small_business,stable,19116.01,31,108,52,0.553,6,3.0,0.0696,0,0
services,enterprise,high_inflation,79033.56,49,40,23,0.943,5,4.7,0.0207,0,0
textile,small_business,high_inflation,74337.99,102,13,11,0.764,2,1.1,0.1915,0,0
retail,mid_market,currency_shock,24304.16,71,30,14,0.695,6,15.0,0.1199,1,47
food_beverage,mid_market,high_inflation,18498.28,58,211,52,0.869,2,3.1,0.0498,0,0
food_beverage,enterprise,high_inflation,51320.14,47,24,11,0.921,3,6.5,0.0218,0,0
logistics,small_business,currency_shock,6769.46,63,6,2,0.89,3,2.2,0.228,0,0
logistics,small_business,stable,259547.25,39,74,46,0.896,4,1.4,0.1086,0,0
electronics,small_business,stable,113086.03,53,53,26,0.813,2,1.0,0.0934,0,0
construction,small_business,high_inflation,354087.5,129,85,36,0.838,3,6.3,0.4214,0,0
electronics,mid_market,stable,33271.77,39,93,46,0.792,5,1.6,0.0445,1,16
food_beverage,enterprise,currency_shock,186777.12,74,77,34,0.768,4,13.8,0.041,0,0
retail,small_business,stable,224273.38,36,61,25,0.793,1,4.5,0.0817,1,33
construction,enterprise,stable,12763.72,114,78,38,0.681,2,0.2,0.054,0,0
textile,small_business,high_inflation,24162.34,60,36,16,0.853,3,11.7,0.2048,0,0
retail,small_business,stable,23602.92,27,14,8,0.864,4,11.2,0.0899,0,0
services,enterprise,stable,32788.32,36,42,19,0.844,10,0.2,0.0125,0,0
food_beverage,small_business,stable,8371.68,51,47,18,0.878,3,0.1,0.0622,0,0
construction,mid_market,stable,150247.99,113,86,43,0.563,4,0.3,0.1323,0,0
food_beverage,small_business,currency_shock,15283.51,78,6,0,0.815,3,4.1,0.1488,0,0
electronics,micro,high_inflation,25098.2,72,33,20,0.813,5,15.0,0.3125,0,0
automotive,small_business,high_inflation,1047124.77,50,6,2,0.763,1,1.0,0.169,0,4
services,mid_market,stable,37332.79,29,9,4,0.924,2,0.6,0.0275,0,1
electronics,small_business,stable,178813.28,59,6,3,0.978,3,2.9,0.0951,0,0
construction,mid_market,stable,7167.61,141,64,39,0.898,4,0.6,0.1292,0,8
electronics,small_business,stable,6093.51,68,52,25,0.717,2,2.4,0.1094,1,31
retail,small_business,stable,88216.52,15,31,14,0.696,2,3.5,0.0727,0,0
textile,small_business,high_inflation,80177.1,91,16,6,0.82,2,6.2,0.2078,1,17
textile,micro,stable,82364.52,64,25,9,0.763,0,6.0,0.2004,0,0
logistics,small_business,high_inflation,37795.45,78,10,5,0.796,10,7.6,0.2314,0,0
food_beverage,small_business,stable,19002.27,25,23,12,0.977,3,2.8,0.0562,1,230
automotive,enterprise,high_inflation,14703.88,81,57,22,0.739,3,2.2,0.0294,0,0
construction,micro,currency_shock,59225.82,175,19,9,0.836,4,0.3,0.7958,1,189
textile,small_business,stable,51463.43,72,6,2,0.672,2,2.6,0.1303,0,0
textile,enterprise,high_inflation,101893.38,82,6,5,0.81,6,24.6,0.0649,1,45
construction,small_business,high_inflation,29734.05,126,67,29,0.621,1,0.6,0.3844,1,44
services,mid_market,currency_shock,119375.08,17,32,14,0.541,5,1.5,0.0552,0,0
construction,enterprise,currency_shock,109435.23,122,32,17,0.916,4,12.4,0.1278,0,3
logistics,micro,high_inflation,57659.36,32,162,50,0.873,3,0.3,0.2137,0,0
automotive,small_business,currency_shock,22564.63,114,16,11,0.926,2,0.4,0.1769,1,12
food_beverage,mid_market,high_inflation,658006.7,77,30,9,0.976,3,1.6,0.0499,0,0
agriculture,small_business,stable,91441.55,79,22,9,0.785,6,1.2,0.1693,0,5
agriculture,small_business,currency_shock,31463.97,91,48,35,0.843,3,7.0,0.3722,1,26
automotive,mid_market,stable,52622.58,96,103,62,0.826,2,0.8,0.0483,0,0
food_beverage,small_business,stable,232144.97,92,94,39,0.836,4,2.6,0.0833,0,0
retail,small_business,stable,52852.9,15,6,8,0.984,6,1.1,0.0598,0,0
textile,mid_market,currency_shock,32756.0,89,30,16,0.883,3,1.5,0.1122,0,0
electronics,small_business,stable,35627.93,73,139,46,0.823,4,2.8,0.1084,0,0
electronics,small_business,stable,79800.0,90,171,42,0.854,2,16.4,0.1637,0,0
construction,micro,high_inflation,11100.66,133,16,6,0.941,5,3.6,0.5677,1,27
automotive,mid_market,stable,6501.98,88,70,31,0.649,2,1.2,0.0508,0,0
automotive,mid_market,currency_shock,22546.38,89,8,6,0.918,1,3.6,0.0885,1,21
food_beverage,mid_market,high_inflation,69131.56,57,6,1,0.906,6,8.3,0.0565,0,0
construction,mid_market,high_inflation,109086.59,106,17,9,0.904,7,2.7,0.1688,0,34
retail,small_business,high_inflation,274199.6,24,14,10,0.938,3,5.9,0.1045,0,0
construction,micro,stable,363328.97,114,25,16,0.867,5,13.6,0.5063,1,11
textile,mid_market,high_inflation,10919.89,83,31,15,0.891,3,2.3,0.087,0,13
logistics,enterprise,currency_shock,19932.62,60,24,13,0.828,2,7.1,0.0571,0,6
retail,small_business,stable,27376.25,53,18,5,0.921,4,0.7,0.0756,0,0
textile,small_business,high_inflation,103702.16,107,53,29,0.707,1,0.2,0.1946,0,0
food_beverage,small_business,high_inflation,8198.82,49,152,52,0.95,2,1.2,0.0868,0,7
construction,small_business,stable,58259.68,123,55,30,0.453,3,1.5,0.2974,0,0
automotive,mid_market,stable,69960.32,78,28,12,0.924,3,6.6,0.0509,0,0
construction,mid_market,stable,13695.04,113,6,4,0.691,1,2.6,0.1353,0,0
logistics,small_business,currency_shock,65634.77,21,87,39,0.615,6,1.9,0.2005,0,2
automotive,enterprise,stable,270762.44,109,86,44,0.851,4,2.9,0.0231,0,0
services,small_business,currency_shock,33862.35,25,27,15,0.808,3,10.4,0.134,0,0
textile,mid_market,stable,178849.74,72,31,15,0.679,1,6.1,0.072,0,0
construction,mid_market,stable,45655.3,104,51,22,0.689,2,5.9,0.1438,0,0
retail,small_business,stable,177039.78,33,23,12,0.979,1,0.9,0.0664,0,0
construction,mid_market,stable,18263.36,108,237,51,0.788,2,1.8,0.1244,0,7
agriculture,enterprise,currency_shock,239552.12,85,45,23,0.766,2,10.7,0.0883,0,0
